book	chapter	verse	sort	greek	strong	ult	pnc
PHP	1	1	1	Παῦλος	G39720	Pablo	pnc
PHP	1	1	2	δοῦλος	G14010	siervo	pnc
PHP	1	1	3	Θεοῦ	G23160	de-Dios	pnc
PHP	1	1	4	δὲ	G11610	y	pnc
PHP	1	1	5	ἀπόστολος	G06520	apóstol	pnc
PHP	1	1	6	Ἰησοῦ	G24240	vvv	pnc
PHP	1	1	7	Χριστοῦ	G55470	de-Jesucristo	pnc
PHP	1	1	8	κατὰ	G25960	conforme	pnc
PHP	1	1	9	πίστιν	G41020	a-la-fe	pnc
PHP	1	1	10	ἐκλεκτῶν	G15880	de-los-elegidos	pnc
PHP	1	1	11	Θεοῦ	G23160	de-Dios	pnc
PHP	1	1	12	καὶ	G25320	y	pnc
PHP	1	1	13	ἐπίγνωσιν	G19220	al-conocimiento	pnc
PHP	1	1	14	ἀληθείας	G02250	de-la-verdad	pnc
PHP	1	1	15	τῆς	G35880	que	pnc
PHP	1	1	16	κατ’	G25960	es-de-acuerdo-con	pnc
PHP	1	1	17	εὐσέβειαν	G21500	la-piedad	pnc
PHP	1	2	18	ἐπ’	G19090	sobre	pnc
PHP	1	2	19	ἐλπίδι	G16800	la-esperanza	pnc
PHP	1	2	20	ζωῆς	G22220	de-la-vida	pnc
PHP	1	2	21	αἰωνίου	G01660	eterna	pnc
PHP	1	2	22	ἣν	G37390	la-cual	pnc
PHP	1	2	23	Θεὸς	G23160	Dios	pnc
PHP	1	2	24	ὁ	G35880	vvv	pnc
PHP	1	2	25	ἀψευδὴς	G08930	que-no-miente	pnc
PHP	1	2	26	ἐπηγγείλατο	G18610	prometió	pnc
PHP	1	2	27	πρὸ	G42530	antes	pnc
PHP	1	2	28	χρόνων	G55500	de-los-tiempos	pnc
PHP	1	2	29	αἰωνίων	G01660	de-los-siglos	pnc
PHP	1	3	30	δὲ	G11610	pero	pnc
PHP	1	3	31	ἐφανέρωσεν	G53190	reveló	pnc
PHP	1	3	32	καιροῖς	G25400	en-los-tiempos	pnc
PHP	1	3	33	ἰδίοις	G23980	apropiados	pnc
PHP	1	3	34	αὐτοῦ	G08460	su	pnc
PHP	1	3	35	τὸν	G35880	vvv	pnc
PHP	1	3	36	λόγον	G30560	palabra	pnc
PHP	1	3	37	ἐν	G17220	por	pnc
PHP	1	3	38	κηρύγματι	G27820	la-predicación	pnc
PHP	1	3	39	ὃ	G37390	que	pnc
PHP	1	3	40	ἐγὼ	G14730	me	pnc
PHP	1	3	41	ἐπιστεύθην	G41000	fue-confiada	pnc
PHP	1	3	42	κατ’	G25960	conforme	pnc
PHP	1	3	43	ἐπιταγὴν	G20030	al-mandato	pnc
PHP	1	3	44	Θεοῦ	G23160	de-Dios	pnc
PHP	1	3	45	ἡμῶν	G14730	nuestro	pnc
PHP	1	3	46	τοῦ	G35880	vvv	pnc
PHP	1	3	47	Σωτῆρος	G49900	salvador	pnc
PHP	1	4	48	Τίτῳ	G51030	a-Tito	pnc
PHP	1	4	49	γνησίῳ	G11030	verdadero	pnc
PHP	1	4	50	τέκνῳ	G50430	hijo	pnc
PHP	1	4	51	κατὰ	G25960	conforme-a	pnc
PHP	1	4	52	κοινὴν	G28390	nuestra	pnc
PHP	1	4	53	πίστιν	G41020	fe	pnc
PHP	1	4	54	κοινὴν	G28390	común	pnc
PHP	1	4	55	χάρις	G54850	Gracia	pnc
PHP	1	4	56	καὶ	G25320	y	pnc
PHP	1	4	57	εἰρήνη	G15150	paz	pnc
PHP	1	4	58	ἀπὸ	G05750	de	pnc
PHP	1	4	59	Θεοῦ	G23160	Dios	pnc
PHP	1	4	60	Πατρὸς	G39620	Padre	pnc
PHP	1	4	61	καὶ	G25320	y	pnc
PHP	1	4	62	Χριστοῦ	G55470	de-Cristo	pnc
PHP	1	4	63	Ἰησοῦ	G24240	Jesús	pnc
PHP	1	4	64	ἡμῶν	G14730	nuestro	pnc
PHP	1	4	65	τοῦ	G35880	vvv	pnc
PHP	1	4	66	Σωτῆρος	G49900	salvador	pnc
PHP	1	5	67	χάριν	G54840	Por	pnc
PHP	1	5	68	τούτου	G37780	esta	pnc
PHP	1	5	69	χάριν	G54840	causa	pnc
PHP	1	5	70	σε	G47710	te	pnc
PHP	1	5	71	ἀπέλιπόν	G06200	dejé	pnc
PHP	1	5	72	ἐν	G17220	en	pnc
PHP	1	5	73	Κρήτῃ	G29140	Creta	pnc
PHP	1	5	74	ἵνα	G24430	para-que	pnc
PHP	1	5	75	ἐπιδιορθώσῃ	G19300	pusieras-en-orden	pnc
PHP	1	5	76	τὰ	G35880	lo	pnc
PHP	1	5	77	λείποντα	G30070	que-falta	pnc
PHP	1	5	78	καὶ	G25320	y	pnc
PHP	1	5	79	καταστήσῃς	G25250	designaras	pnc
